,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
868,Geelong,2014,12,Carlton,5,Docklands,107,15.5,8.363636364,3.090909091,7.136363636,0.727272727,1.818181818,2.954545455,1.409090909,2.409090909,1.863636364,1.681818182,6.409090909,9.272727273,0.454545455,0.863636364,0.590909091,2.636363636,16,980,W,13,St Kilda,Kardinia Park,W
869,Geelong,2014,13,St Kilda,96,Kardinia Park,133,17.22727273,10.36363636,6.090909091,6.863636364,0.909090909,2.863636364,3.272727273,1.318181818,2.590909091,1.409090909,1.681818182,5.181818182,12.09090909,0.409090909,1.045454545,0.727272727,1.636363636,112,1113,W,14,Gold Coast,Carrara,L
870,Geelong,2014,14,Gold Coast,-40,Carrara,78,16.13636364,8.136363636,3.272727273,8,0.5,1.909090909,2.409090909,1.727272727,1.954545455,1.318181818,2.045454545,6.045454545,10,0.136363636,0.545454545,0.363636364,2.181818182,72,1191,L,15,Essendon,Docklands,W
871,Geelong,2014,15,Essendon,9,Docklands,89,16.22727273,9.727272727,4.818181818,6.5,0.590909091,1.636363636,3.090909091,1.636363636,2.409090909,1.681818182,1.636363636,6.181818182,10.22727273,0.454545455,0.5,0.454545455,2.045454545,81,1280,W,16,Western Bulldogs,Kardinia Park,W
872,Geelong,2014,16,Western Bulldogs,13,Kardinia Park,69,15.72727273,9.454545455,3.863636364,6.272727273,0.454545455,2.409090909,5.863636364,1.318181818,1.954545455,1.409090909,2.363636364,6.318181818,8.772727273,0.5,0.409090909,0.318181818,2.863636364,94,1349,W,17,Melbourne,M.C.G.,W
873,Geelong,2014,17,Melbourne,66,M.C.G.,102,17,10.40909091,5.181818182,6.590909091,0.636363636,1.954545455,4,1.045454545,2.590909091,1.909090909,1.636363636,6.272727273,10.45454545,0.5,0.863636364,0.454545455,2.090909091,160,1451,W,18,Greater Western Sydney,Sydney Showground,W
874,Geelong,2014,18,Greater Western Sydney,7,Sydney Showground,94,18.95454545,9.454545455,4.409090909,9.5,0.590909091,2,2.181818182,1.5,2.5,1.363636364,1.545454545,5.954545455,13,0.318181818,0.636363636,0.5,1.681818182,167,1545,W,19,North Melbourne,Docklands,W
875,Geelong,2014,19,North Melbourne,32,Docklands,111,16.09090909,9.772727273,4.772727273,6.318181818,0.727272727,1.409090909,2.818181818,1.727272727,2.363636364,1.409090909,1.909090909,5.227272727,10.40909091,0.636363636,0.636363636,0.5,1.954545455,199,1656,W,20,Fremantle,Kardinia Park,W
876,Geelong,2014,20,Fremantle,2,Kardinia Park,81,16.72727273,9.954545455,5.045454545,6.772727273,0.545454545,1.409090909,3.636363636,1.181818182,2.136363636,1.181818182,1.772727273,6.409090909,10.72727273,0.863636364,0.409090909,0.318181818,2.681818182,201,1737,W,21,Carlton,Docklands,W
877,Geelong,2014,21,Carlton,6,Docklands,82,16.04545455,9.454545455,4.590909091,6.590909091,0.5,1.409090909,2.318181818,1.227272727,2.454545455,1.136363636,2.545454545,5.590909091,10.5,0.454545455,0.863636364,0.363636364,2.227272727,207,1819,W,22,Hawthorn,M.C.G.,L
