Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Hawthorn,Fremantle,Aurora Stadium,8,8,1,0,1523.842822,1555.769997,W
2012,Melbourne,Sydney,SCG,8,8,0,1,1349.892203,1552.823046,L
2012,Sydney,Melbourne,SCG,8,8,1,0,1552.823046,1349.892203,W
2012,Gold Coast,Western Bulldogs,TIO Stadium,8,8,0,0,1342.207393,1485.907487,L
2012,Western Bulldogs,Gold Coast,TIO Stadium,8,8,0,0,1485.907487,1342.207393,W
2012,Essendon,Richmond,MCG,8,8,0,0,1604.099086,1493.697654,W
2012,Richmond,Essendon,MCG,8,8,0,0,1493.697654,1604.099086,L
2012,Brisbane Lions,Greater Western Sydney,The Gabba,8,8,1,0,1424.686151,1401.64758,W
2012,Greater Western Sydney,Brisbane Lions,The Gabba,8,8,0,1,1401.64758,1424.686151,L
2012,Adelaide,Carlton,Etihad Stadium,8,8,0,1,1612.814185,1560.761527,W
2012,Carlton,Adelaide,Etihad Stadium,8,8,1,0,1560.761527,1612.814185,L
2012,St Kilda,West Coast,Patersons Stadium,8,8,0,1,1515.547131,1603.65715,L
2012,West Coast,St Kilda,Patersons Stadium,8,8,1,0,1603.65715,1515.547131,W
2012,Geelong,Western Bulldogs,Etihad Stadium,9,9,0,0,1505.341846,1502.224624,W
2012,Western Bulldogs,Geelong,Etihad Stadium,9,9,0,0,1502.224624,1505.341846,L
2012,Hawthorn,Richmond,MCG,9,9,0,0,1547.117119,1475.126695,L
2012,Richmond,Hawthorn,MCG,9,9,0,0,1475.126695,1547.117119,W
2012,Gold Coast,Port Adelaide,Metricon Stadium,9,9,1,0,1325.890256,1414.201703,L
2012,Port Adelaide,Gold Coast,Metricon Stadium,9,9,0,1,1414.201703,1325.890256,W
2012,St Kilda,Sydney,Etihad Stadium,9,9,1,0,1500.662116,1561.700611,W
2012,Sydney,St Kilda,Etihad Stadium,9,9,0,1,1561.700611,1500.662116,L
2012,Adelaide,Collingwood,AAMI Stadium,9,9,1,0,1641.636645,1602.764297,L
2012,Collingwood,Adelaide,AAMI Stadium,9,9,0,1,1602.764297,1641.636645,W
2012,Essendon,Greater Western Sydney,_koda Stadium,9,9,0,1,1622.670046,1382.423376,W
2012,Greater Western Sydney,Essendon,_koda Stadium,9,9,1,0,1382.423376,1622.670046,L
2012,Brisbane Lions,North Melbourne,Etihad Stadium,9,9,0,1,1443.910355,1450.33874,L
2012,North Melbourne,Brisbane Lions,Etihad Stadium,9,9,1,0,1450.33874,1443.910355,W
2012,Carlton,Melbourne,MCG,9,9,0,0,1531.939066,1341.014639,W
2012,Melbourne,Carlton,MCG,9,9,0,0,1341.014639,1531.939066,L
2012,Fremantle,West Coast,Patersons Stadium,9,9,0,0,1532.4957,1618.542166,L
2012,West Coast,Fremantle,Patersons Stadium,9,9,0,0,1618.542166,1532.4957,W
2012,Richmond,St Kilda,Etihad Stadium,10,10,0,0,1507.421567,1526.163581,W
2012,St Kilda,Richmond,Etihad Stadium,10,10,0,0,1526.163581,1507.421567,L
